"Time1","Time2","Lon.mean","Lon.sd","Lon.50%","Lon.2.5%","Lon.97.5%","Lat.mean","Lat.sd","Lat.50%","Lat.2.5%","Lat.97.5%"
2015-07-15 19:34:02,2015-07-16 03:01:00,11.8224431717661,1.6043935277116,11.8402983639392,8.60363223467712,14.7874401985965,51.2818198196418,1.13919563163001,51.2673448405144,48.9850092205342,53.4031260347773
2015-07-16 03:01:00,2015-07-16 19:43:53,12.3313075995655,4.34012764350608,12.093167204156,3.98709672747408,21.0248864253486,50.671545073043,2.40255072312394,50.7180071301643,45.8289465267858,55.2932457080514
2015-07-16 19:43:53,2015-07-17 02:51:06,12.2597810045367,3.04603705409702,12.289614310476,5.94058253931467,18.2953611106935,50.0510294980696,1.82582420883368,50.1529381340459,46.2495700186116,53.3693764593997
2015-07-17 02:51:06,2015-07-17 19:48:53,12.7210782841564,4.40219671884493,12.5432975354849,4.42427784711553,21.4975748607414,50.5827803003763,2.57697665506802,50.7409219152229,45.1547248806774,55.6044284682115
2015-07-17 19:48:53,2015-07-18 02:46:06,12.8471857226623,2.9528486849495,12.7287801887196,6.81327217708235,18.6372066777588,50.5643795347037,1.82755440649993,50.5526169947017,46.8394308588608,54.1117271464802
2015-07-18 02:46:06,2015-07-18 19:28:53,13.3212977471025,4.4829848225292,13.2191753526916,4.5946156482948,22.5418385992002,49.4096690696782,3.04961136268192,49.4100262937245,43.3966713213421,55.6724889886092
2015-07-18 19:28:53,2015-07-19 03:01:06,13.330845853311,3.12837901034226,13.2704171854845,7.26589635346681,19.5056714661223,48.552212724448,2.24308632674774,48.5356723208638,44.4084442028278,53.1340808682532
2015-07-19 03:01:06,2015-07-19 19:33:57,14.6872994191174,4.44944727343906,14.6821094615503,6.13764365607161,23.4652917850199,49.786220925404,2.63134402155297,49.8640029470135,44.6433608352758,54.761444210967
2015-07-19 19:33:57,2015-07-20 02:36:06,15.7141770411778,3.36209036710315,15.7879661867296,9.26774840510234,22.3722921647922,50.6921313742119,1.86290964463056,50.6434920447987,47.0315607822259,54.2606783860864
2015-07-20 02:36:06,2015-07-20 19:28:53,15.445008199426,4.61556237257947,15.4704298657173,6.03808255664018,24.7384181044564,50.3732381837067,2.79791966699153,50.3827408143201,45.1735953790117,56.0204423583561
2015-07-20 19:28:53,2015-07-21 02:51:06,13.939711699603,3.25252002870087,13.8402993259152,7.88790486768062,20.4826527097107,50.0541969874962,2.05089871690396,50.122621802901,46.132946340418,53.9602754745297
2015-07-21 02:51:06,2015-07-21 19:48:53,12.5360998894413,4.43968866812244,12.5496402537632,3.47610916789001,21.1220729329467,50.4890205781991,3.05730418565306,50.4278980064253,44.9463920310473,56.7852738134551
2015-07-21 19:48:53,2015-07-22 03:01:06,11.3591948247745,3.16568385598085,11.2651151655154,5.96856361521297,17.7024660795801,50.3088815484408,1.84145849775241,50.3738619500932,46.715046430599,53.6918220214126
2015-07-22 03:01:06,2015-07-22 19:28:53,12.136131087295,4.13944107885548,12.1476764860734,4.14864930041925,20.3858797911135,49.5750147609614,2.68294535945229,49.6593643140495,44.4387920969891,54.7230828250037
2015-07-22 19:28:53,2015-07-23 03:16:06,11.7191277570506,3.42701904424613,11.5715630912477,5.40815632249988,19.0256297344719,48.4398866926274,2.3222848557009,48.3393148825391,44.2456179414829,52.9739226857212
2015-07-23 03:16:06,2015-07-23 19:08:53,12.9524845159725,4.47503339353432,13.002046081133,4.21615811518307,21.8766626616006,48.1499631861916,2.8389097829477,48.1154243856001,42.6923608167401,53.8679191826786
2015-07-23 19:08:53,2015-07-24 03:11:06,13.6951858268297,3.56406511387694,13.7756099852651,6.50222229180777,20.653782591651,48.0398363327362,2.03618717166223,47.9786868884456,44.0495317132415,52.2240278974424
2015-07-24 03:11:06,2015-07-24 19:33:53,11.9647278721504,4.43356703418752,12.0276367295354,3.34736191260037,20.7559256775839,48.8405878574097,2.67897654109075,48.8025565191977,43.5401816310006,54.1990352041198
2015-07-24 19:33:53,2015-07-25 03:11:06,11.1440275545737,2.79478885018284,11.089528660287,5.70634950022997,16.7088380763788,49.0197536727706,1.91553473727862,48.9729527854988,45.372806108977,52.8185450469451
2015-07-25 03:11:06,2015-07-25 19:23:53,11.5232418447074,4.18894824522549,11.4262786366198,3.52418172254024,19.8465355668528,49.1015880039428,2.60803663128684,49.0076113030062,44.1886633621623,54.0245820928126
2015-07-25 19:23:53,2015-07-26 03:11:06,11.7245515583314,3.00324134850661,11.6666832038188,5.82495177995512,18.073204930927,48.798552022233,1.97978542595424,48.8352122677929,44.8239649021449,52.6016640213367
2015-07-26 03:11:06,2015-07-26 19:33:53,11.0377094334926,4.04334812726725,11.1487048646671,3.46286781511213,19.1345163667527,48.8949523208895,2.56993502807595,48.8929854789421,43.8238704964774,53.5938522299227
2015-07-26 19:33:53,2015-07-27 03:16:06,10.8045397080563,2.80610792375901,10.7469602207252,5.54363688772311,16.5660580937532,48.8295843479837,1.93217593949854,48.8042427681793,45.1873898373049,52.6447820376331
2015-07-27 03:16:06,2015-07-27 19:09:12,13.3782616921977,4.53283716445388,13.441590681209,4.46620286544729,22.184544475884,48.8049808311933,2.92303927495331,48.6525304456598,43.5101279889069,54.6356570885426
2015-07-27 19:09:12,2015-07-28 03:01:06,15.2410650162924,3.54212647509796,15.101374197965,8.4143934039173,22.8045800899182,48.7601738626403,2.35399021043865,48.692636169016,44.6191215182556,53.763878972089
